trp_gekokujo_asakura_veteran_retainer_pl|资 深 彦 根 侍 从 
trp_gekokujo_asakura_mounted_retainer|彦 根 骑 马 侍 从 
trp_gekokujo_asakura_mounted_retainer_pl|彦 根 骑 马 侍 从 
trp_gekokujo_asakura_samurai_gunner|彦 根 铁 炮 武 士 
trp_gekokujo_asakura_samurai_gunner_pl|彦 根 铁 炮 武 士 
trp_gekokujo_asakura_samurai_archer|彦 根 弓 武 士 
trp_gekokujo_asakura_samurai_archer_pl|彦 根 弓 武 士 
trp_gekokujo_asakura_officer|彦 根 军 官 
trp_gekokujo_asakura_officer_pl|彦 根 军 官 
trp_gekokujo_asakura_mounted_officer|彦 根 骑 马 军 官 
trp_gekokujo_asakura_mounted_officer_pl|彦 根 骑 马 军 官 
trp_gekokujo_asakura_master_gunner|彦 根 铁 炮 队 长 
trp_gekokujo_asakura_master_gunner_pl|彦 根 铁 炮 队 长 
trp_gekokujo_asakura_master_archer|彦 根 弓 队 长 
trp_gekokujo_asakura_master_archer_pl|彦 根 弓 队 长 
trp_gekokujo_asakura_hatamoto_gunner|彦 根 铁 炮 奉 行 
trp_gekokujo_asakura_hatamoto_gunner_pl|彦 根 铁 炮 奉 行 
trp_gekokujo_asakura_hatamoto_archer|彦 根 弓 奉 行 
trp_gekokujo_asakura_hatamoto_archer_pl|彦 根 弓 奉 行 
trp_gekokujo_asakura_messenger|彦 根 信 使 
trp_gekokujo_asakura_messenger_pl|彦 根 信 使 
trp_gekokujo_asakura_deserter|彦 根 逃 兵 
trp_gekokujo_asakura_deserter_pl|彦 根 逃 兵 
trp_gekokujo_asakura_prison_guard|彦 根 监 狱 守 卫 
trp_gekokujo_asakura_prison_guard_pl|彦 根 监 狱 守 卫 
trp_gekokujo_asakura_castle_guard|彦 根 城 堡 守 卫 
trp_gekokujo_asakura_castle_guard_pl|彦 根 城 堡 守 卫 
trp_gekokujo_chosokabe_jizamurai|土 佐 见 习 侍 从 
trp_gekokujo_chosokabe_jizamurai_pl|土 佐 见 习 侍 从 
trp_gekokujo_chosokabe_retainer|土 佐 侍 从 
trp_gekokujo_chosokabe_retainer_pl|土 佐 侍 从 
trp_gekokujo_chosokabe_marksman|土 佐 侍 从 射 手 
trp_gekokujo_chosokabe_marksman_pl|土 佐 侍 从 射 手 
trp_gekokujo_chosokabe_veteran_retainer|资 深 土 佐 侍 从 
trp_gekokujo_chosokabe_veteran_retainer_pl|资 深 土 佐 侍 从 
trp_gekokujo_chosokabe_mounted_retainer|土 佐 骑 马 侍 从 
trp_gekokujo_chosokabe_mounted_retainer_pl|土 佐 骑 马 侍 从 
trp_gekokujo_chosokabe_samurai_gunner|土 佐 铁 炮 武 士 
trp_gekokujo_chosokabe_samurai_gunner_pl|土 佐 铁 炮 武 士 
trp_gekokujo_chosokabe_samurai_archer|土 佐 弓 武 士 
trp_gekokujo_chosokabe_samurai_archer_pl|土 佐 弓 武 士 
trp_gekokujo_chosokabe_officer|土 佐 军 官 
trp_gekokujo_chosokabe_officer_pl|土 佐 军 官 
trp_gekokujo_chosokabe_mounted_officer|土 佐 骑 马 军 官 
trp_gekokujo_chosokabe_mounted_officer_pl|土 佐 骑 马 军 官 
trp_gekokujo_chosokabe_master_gunner|土 佐 铁 炮 队 长 
trp_gekokujo_chosokabe_master_gunner_pl|土 佐 铁 炮 队 长 
trp_gekokujo_chosokabe_master_archer|土 佐 弓 队 长 
trp_gekokujo_chosokabe_master_archer_pl|土 佐 弓 队 长 
trp_gekokujo_chosokabe_hatamoto_guard|土 佐 亲 卫 
trp_gekokujo_chosokabe_hatamoto_guard_pl|土 佐 亲 卫 
trp_gekokujo_chosokabe_hatamoto_archer|土 佐 弓 奉 行 
trp_gekokujo_chosokabe_hatamoto_archer_pl|土 佐 弓 奉 行 
trp_gekokujo_chosokabe_messenger|土 佐 信 使 
trp_gekokujo_chosokabe_messenger_pl|土 佐 信 使 
trp_gekokujo_chosokabe_deserter|土 佐 逃 兵 
trp_gekokujo_chosokabe_deserter_pl|土 佐 逃 兵 
trp_gekokujo_chosokabe_prison_guard|土 佐 监 狱 守 卫 
trp_gekokujo_chosokabe_prison_guard_pl|土 佐 监 狱 守 卫 
trp_gekokujo_chosokabe_castle_guard|土 佐 城 堡 守 卫 
trp_gekokujo_chosokabe_castle_guard_pl|土 佐 城 堡 守 卫 
trp_gekokujo_hojo_jizamurai|幕 府 见 习 侍 从 
trp_gekokujo_hojo_jizamurai_pl|幕 府 见 习 侍 从 
trp_gekokujo_hojo_retainer|幕 府 侍 从 
trp_gekokujo_hojo_retainer_pl|幕 府 侍 从 
trp_gekokujo_hojo_marksman|见 回 组 
trp_gekokujo_hojo_marksman_pl|见 回 组 
trp_gekokujo_hojo_veteran_retainer|资 深 幕 府 侍 从 
trp_gekokujo_hojo_veteran_retainer_pl|资 深 幕 府 侍 从 
trp_gekokujo_hojo_mounted_retainer|幕 府 骑 马 侍 从 
trp_gekokujo_hojo_mounted_retainer_pl|幕 府 骑 马 侍 从 
trp_gekokujo_hojo_samurai_gunner|新 选 组 铳 手 
trp_gekokujo_hojo_samurai_gunner_pl|新 选 组 铳 手 
trp_gekokujo_hojo_samurai_archer|新 选 组 
trp_gekokujo_hojo_samurai_archer_pl|新 选 组 
trp_gekokujo_hojo_officer|幕 府 军 官 
trp_gekokujo_hojo_officer_pl|幕 府 军 官 
trp_gekokujo_hojo_mounted_officer|幕 府 骑 马 军 官 
trp_gekokujo_hojo_mounted_officer_pl|幕 府 骑 马 军 官 
trp_gekokujo_hojo_master_gunner|资 深 新 选 组 铳 手 
trp_gekokujo_hojo_master_gunner_pl|资 深 新 选 组 铳 手 
trp_gekokujo_hojo_master_archer|资 深 新 选 组 
trp_gekokujo_hojo_master_archer_pl|资 深 新 选 组 
trp_gekokujo_hojo_hatamoto_cavalry|幕 府 马 回 
trp_gekokujo_hojo_hatamoto_cavalry_pl|幕 府 马 回 
trp_gekokujo_hojo_hatamoto_archer|幕 府 流 镝 马 
trp_gekokujo_hojo_hatamoto_archer_pl|幕 府 流 镝 马 
trp_gekokujo_hojo_messenger|幕 府 信 使 
trp_gekokujo_hojo_messenger_pl|幕 府 信 使 
trp_gekokujo_hojo_deserter|幕 府 逃 兵 
trp_gekokujo_hojo_deserter_pl|幕 府 逃 兵 
trp_gekokujo_hojo_prison_guard|幕 府 监 狱 守 卫 
trp_gekokujo_hojo_prison_guard_pl|幕 府 监 狱 守 卫 
trp_gekokujo_hojo_castle_guard|幕 府 城 堡 守 卫 
trp_gekokujo_hojo_castle_guard_pl|幕 府 城 堡 守 卫 
trp_rising_sun_kubota_jizamurai|久 保 田 见 习 侍 从 
trp_rising_sun_kubota_jizamurai_pl|久 保 田 见 习 侍 从 
trp_rising_sun_kubota_retainer|久 保 田 侍 从 
trp_rising_sun_kubota_retainer_pl|久 保 田 侍 从 
trp_rising_sun_kubota_marksman|久 保 田 侍 从 射 手 
trp_rising_sun_kubota_marksman_pl|久 保 田 侍 从 射 手 
trp_rising_sun_kubota_veteran_retainer|资 深 久 保 田 侍 从 
trp_rising_sun_kubota_veteran_retainer_pl|资 深 久 保 田 侍 从 
trp_rising_sun_kubota_mounted_retainer|久 保 田 骑 马 侍 从 
trp_rising_sun_kubota_mounted_retainer_pl|久 保 田 骑 马 侍 从 
trp_rising_sun_kubota_samurai_gunner|久 保 田 铁 炮 武 士 
trp_rising_sun_kubota_samurai_gunner_pl|久 保 田 铁 炮 武 士 
trp_rising_sun_kubota_samurai_archer|久 保 田 弓 武 士 
trp_rising_sun_kubota_samurai_archer_pl|久 保 田 弓 武 士 
trp_rising_sun_kubota_officer|久 保 田 军 官 
trp_rising_sun_kubota_officer_pl|久 保 田 军 官 
trp_rising_sun_kubota_mounted_officer|久 保 田 骑 马 军 官 
trp_rising_sun_kubota_mounted_officer_pl|久 保 田 骑 马 军 官 
trp_rising_sun_kubota_master_gunner|久 保 田 铁 炮 队 长 
trp_rising_sun_kubota_master_gunner_pl|久 保 田 铁 炮 队 长 
trp_rising_sun_kubota_master_archer|久 保 田 弓 队 长 
trp_rising_sun_kubota_master_archer_pl|久 保 田 弓 队 长 
trp_rising_sun_kubota_hatamoto_cavalry|久 保 田 马 回 
trp_rising_sun_kubota_hatamoto_cavalry_pl|久 保 田 马 回 
trp_rising_sun_kubota_hatamoto_gunner|久 保 田 铁 炮 奉 行 
trp_rising_sun_kubota_hatamoto_gunner_pl|久 保 田 铁 炮 奉 行 
trp_rising_sun_kubota_messenger|久 保 田 信 使 
trp_rising_sun_kubota_messenger_pl|久 保 田 信 使 
trp_rising_sun_kubota_deserter|久 保 田 逃 兵 
trp_rising_sun_kubota_deserter_pl|久 保 田 逃 兵 
trp_rising_sun_kubota_prison_guard|久 保 田 监 狱 守 卫 
trp_rising_sun_kubota_prison_guard_pl|久 保 田 监 狱 守 卫 
trp_rising_sun_kubota_castle_guard|久 保 田 城 堡 守 卫 
trp_rising_sun_kubota_castle_guard_pl|久 保 田 城 堡 守 卫 
trp_gekokujo_shimazu_jizamurai|萨 摩 见 习 侍 从 
trp_gekokujo_shimazu_jizamurai_pl|萨 摩 见 习 侍 从 
trp_gekokujo_shimazu_retainer|萨 摩 侍 从 
trp_gekokujo_shimazu_retainer_pl|萨 摩 侍 从 
trp_gekokujo_shimazu_marksman|萨 摩 侍 从 射 手 
trp_gekokujo_shimazu_marksman_pl|萨 摩 侍 从 射 手 
trp_gekokujo_shimazu_veteran_retainer|资 深 萨 摩 侍 从 
trp_gekokujo_shimazu_veteran_retainer_pl|资 深 萨 摩 侍 从 
trp_gekokujo_shimazu_mounted_retainer|萨 摩 骑 马 侍 从 
trp_gekokujo_shimazu_mounted_retainer_pl|萨 摩 骑 马 侍 从 
trp_gekokujo_shimazu_samurai_gunner|萨 摩 铁 炮 武 士 
trp_gekokujo_shimazu_samurai_gunner_pl|萨 摩 铁 炮 武 士 
trp_gekokujo_shimazu_samurai_archer|萨 摩 弓 武 士 
trp_gekokujo_shimazu_samurai_archer_pl|萨 摩 弓 武 士 
trp_gekokujo_shimazu_officer|萨 摩 军 官 
trp_gekokujo_shimazu_officer_pl|萨 摩 军 官 
trp_gekokujo_shimazu_mounted_officer|萨 摩 骑 马 军 官 
trp_gekokujo_shimazu_mounted_officer_pl|萨 摩 骑 马 军 官 
trp_gekokujo_shimazu_master_gunner|萨 摩 铁 炮 队 长 
trp_gekokujo_shimazu_master_gunner_pl|萨 摩 铁 炮 队 长 
trp_gekokujo_shimazu_master_archer|萨 摩 弓 队 长 
trp_gekokujo_shimazu_master_archer_pl|萨 摩 弓 队 长 
trp_gekokujo_shimazu_hatamoto_guard|萨 摩 亲 卫 
trp_gekokujo_shimazu_hatamoto_guard_pl|萨 摩 亲 卫 
trp_gekokujo_shimazu_hatamoto_gunner|萨 摩 铁 炮 奉 行 
trp_gekokujo_shimazu_hatamoto_gunner_pl|萨 摩 铁 炮 奉 行 
trp_gekokujo_shimazu_messenger|萨 摩 信 使 
trp_gekokujo_shimazu_messenger_pl|萨 摩 信 使 
trp_gekokujo_shimazu_deserter|萨 摩 逃 兵 
trp_gekokujo_shimazu_deserter_pl|萨 摩 逃 兵 
trp_gekokujo_shimazu_prison_guard|萨 摩 监 狱 守 卫 
trp_gekokujo_shimazu_prison_guard_pl|萨 摩 监 狱 守 卫 
trp_gekokujo_shimazu_castle_guard|萨 摩 城 堡 守 卫 
trp_gekokujo_shimazu_castle_guard_pl|萨 摩 城 堡 守 卫 
trp_gekokujo_ryuzoji_jizamurai|佐 贺 见 习 侍 从 
trp_gekokujo_ryuzoji_jizamurai_pl|佐 贺 见 习 侍 从 
trp_gekokujo_ryuzoji_retainer|佐 贺 侍 从 
trp_gekokujo_ryuzoji_retainer_pl|佐 贺 侍 从 
trp_gekokujo_ryuzoji_marksman|佐 贺 侍 从 射 手 
trp_gekokujo_ryuzoji_marksman_pl|佐 贺 侍 从 射 手 
trp_gekokujo_ryuzoji_veteran_retainer|资 深 佐 贺 侍 从 
trp_gekokujo_ryuzoji_veteran_retainer_pl|资 深 佐 贺 侍 从 
trp_gekokujo_ryuzoji_mounted_retainer|资 深 骑 马 侍 从 
trp_gekokujo_ryuzoji_mounted_retainer_pl|资 深 骑 马 侍 从 
trp_gekokujo_ryuzoji_samurai_gunner|佐 贺 炮 兵 
trp_gekokujo_ryuzoji_samurai_gunner_pl|佐 贺 炮 兵 
trp_gekokujo_ryuzoji_samurai_archer|佐 贺 弓 武 士 
trp_gekokujo_ryuzoji_samurai_archer_pl|佐 贺 弓 武 士 
trp_gekokujo_ryuzoji_officer|佐 贺 军 官 
trp_gekokujo_ryuzoji_officer_pl|佐 贺 军 官 
trp_gekokujo_ryuzoji_mounted_officer|佐 贺 骑 马 军 官 
trp_gekokujo_ryuzoji_mounted_officer_pl|佐 贺 骑 马 军 官 
trp_gekokujo_ryuzoji_master_gunner|帕 罗 特 炮 
trp_gekokujo_ryuzoji_master_gunner_pl|帕 罗 特 炮 
trp_gekokujo_ryuzoji_master_archer|佐 贺 弓 队 长 
trp_gekokujo_ryuzoji_master_archer_pl|佐 贺 弓 队 长 
trp_gekokujo_ryuzoji_hatamoto_guard|佐 贺 亲 卫 
trp_gekokujo_ryuzoji_hatamoto_guard_pl|佐 贺 亲 卫 
trp_gekokujo_ryuzoji_hatamoto_archer|佐 贺 弓 奉 行 
trp_gekokujo_ryuzoji_hatamoto_archer_pl|佐 贺 弓 奉 行 
trp_gekokujo_ryuzoji_messenger|佐 贺 信 使 
trp_gekokujo_ryuzoji_messenger_pl|佐 贺 信 使 
trp_gekokujo_ryuzoji_deserter|佐 贺 逃 兵 
trp_gekokujo_ryuzoji_deserter_pl|佐 贺 逃 兵 
trp_gekokujo_ryuzoji_prison_guard|佐 贺 监 狱 守 卫 
trp_gekokujo_ryuzoji_prison_guard_pl|佐 贺 监 狱 守 卫 
trp_gekokujo_ryuzoji_castle_guard|佐 贺 城 堡 守 卫 
trp_gekokujo_ryuzoji_castle_guard_pl|佐 贺 城 堡 守 卫 
trp_rising_sun_mito_jizamurai|水 户 见 习 侍 从 
trp_rising_sun_mito_jizamurai_pl|水 户 见 习 侍 从 
trp_rising_sun_mito_retainer|水 户 侍 从 
trp_rising_sun_mito_retainer_pl|水 户 侍 从 
trp_rising_sun_mito_marksman|水 户 侍 从 射 手 
trp_rising_sun_mito_marksman_pl|水 户 侍 从 射 手 
trp_rising_sun_mito_veteran_retainer|资 深 水 户 侍 从 
trp_rising_sun_mito_veteran_retainer_pl|资 深 水 户 侍 从 
trp_rising_sun_mito_mounted_retainer|水 户 骑 马 侍 从 
trp_rising_sun_mito_mounted_retainer_pl|水 户 骑 马 侍 从 
trp_rising_sun_mito_samurai_gunner|水 户 铁 炮 武 士 
trp_rising_sun_mito_samurai_gunner_pl|水 户 铁 炮 武 士 
trp_rising_sun_mito_samurai_archer|水 户 弓 武 士 
trp_rising_sun_mito_samurai_archer_pl|水 户 弓 武 士 
trp_rising_sun_mito_officer|水 户 军 官 
trp_rising_sun_mito_officer_pl|水 户 军 官 
trp_rising_sun_mito_mounted_officer|水 户 骑 马 军 官 
trp_rising_sun_mito_mounted_officer_pl|水 户 骑 马 军 官 
trp_rising_sun_mito_master_gunner|水 户 铁 炮 武 士 
trp_rising_sun_mito_master_gunner_pl|水 户 铁 炮 武 士 
trp_rising_sun_mito_master_archer|水 户 弓 武 士 
trp_rising_sun_mito_master_archer_pl|水 户 弓 武 士 
trp_rising_sun_mito_hatamoto_gunner|水 户 铁 炮 奉 行 
trp_rising_sun_mito_hatamoto_gunner_pl|水 户 铁 炮 奉 行 
trp_rising_sun_mito_hatamoto_archer|水 户 弓 奉 行 
trp_rising_sun_mito_hatamoto_archer_pl|水 户 弓 奉 行 
trp_rising_sun_mito_messenger|水 户 信 使 
trp_rising_sun_mito_messenger_pl|水 户 信 使 
trp_rising_sun_mito_deserter|水 户 逃 兵 
trp_rising_sun_mito_deserter_pl|水 户 逃 兵 
trp_rising_sun_mito_prison_guard|水 户 监 狱 守 卫 
trp_rising_sun_mito_prison_guard_pl|水 户 监 狱 守 卫 
trp_rising_sun_mito_castle_guard|水 户 城 堡 守 卫 
trp_rising_sun_mito_castle_guard_pl|水 户 城 堡 守 卫 
trp_gekokujo_satomi_jizamurai|房 总 见 习 侍 从 
trp_gekokujo_satomi_jizamurai_pl|房 总 见 习 侍 从 
trp_gekokujo_satomi_retainer|房 总 侍 从 
trp_gekokujo_satomi_retainer_pl|房 总 侍 从 
trp_gekokujo_satomi_marksman|房 总 侍 从 射 手 
trp_gekokujo_satomi_marksman_pl|房 总 侍 从 射 手 
trp_gekokujo_satomi_veteran_retainer|资 深 房 总 侍 从 
trp_gekokujo_satomi_veteran_retainer_pl|资 深 房 总 侍 从 
trp_gekokujo_satomi_mounted_retainer|房 总 骑 马 侍 从 
trp_gekokujo_satomi_mounted_retainer_pl|房 总 骑 马 侍 从 
trp_gekokujo_satomi_samurai_gunner|房 总 铁 炮 武 士 
trp_gekokujo_satomi_samurai_gunner_pl|房 总 铁 炮 武 士 
trp_gekokujo_satomi_samurai_archer|房 总 弓 武 士 
trp_gekokujo_satomi_samurai_archer_pl|房 总 弓 武 士 
trp_gekokujo_satomi_officer|房 总 军 官 
trp_gekokujo_satomi_officer_pl|房 总 军 官 
trp_gekokujo_satomi_mounted_officer|房 总 骑 马 军 官 
trp_gekokujo_satomi_mounted_officer_pl|房 总 骑 马 军 官 
trp_gekokujo_satomi_master_gunner|房 总 铁 炮 队 长 
trp_gekokujo_satomi_master_gunner_pl|房 总 铁 炮 队 长 
trp_gekokujo_satomi_master_archer|房 总 弓 队 长 
trp_gekokujo_satomi_master_archer_pl|房 总 弓 队 长 
trp_gekokujo_satomi_hatamoto_guard|房 总 亲 卫 
trp_gekokujo_satomi_hatamoto_guard_pl|房 总 亲 卫 
trp_gekokujo_satomi_hatamoto_cavalry|房 总 马 回 
trp_gekokujo_satomi_hatamoto_cavalry_pl|房 总 马 回 
trp_gekokujo_satomi_messenger|房 总 信 使 
trp_gekokujo_satomi_messenger_pl|房 总 信 使 
trp_gekokujo_satomi_deserter|房 总 逃 兵 
trp_gekokujo_satomi_deserter_pl|房 总 逃 兵 
trp_gekokujo_satomi_prison_guard|房 总 监 狱 守 卫 
trp_gekokujo_satomi_prison_guard_pl|房 总 监 狱 守 卫 
trp_gekokujo_satomi_castle_guard|房 总 城 堡 守 卫 
trp_gekokujo_satomi_castle_guard_pl|房 总 城 堡 守 卫 
trp_gekokujo_ukita_jizamurai|酒 井 见 习 侍 从 
trp_gekokujo_ukita_jizamurai_pl|酒 井 见 习 侍 从 
trp_gekokujo_ukita_retainer|酒 井 侍 从 
trp_gekokujo_ukita_retainer_pl|酒 井 侍 从 
trp_gekokujo_ukita_marksman|酒 井 侍 从 射 手 
trp_gekokujo_ukita_marksman_pl|酒 井 侍 从 射 手 
trp_gekokujo_ukita_veteran_retainer|资 深 酒 井 侍 从 
trp_gekokujo_ukita_veteran_retainer_pl|资 深 酒 井 侍 从 
trp_gekokujo_ukita_mounted_retainer|酒 井 骑 马 侍 从 
trp_gekokujo_ukita_mounted_retainer_pl|酒 井 骑 马 侍 从 
trp_gekokujo_ukita_samurai_gunner|酒 井 铁 炮 武 士 
trp_gekokujo_ukita_samurai_gunner_pl|酒 井 铁 炮 武 士 
trp_gekokujo_ukita_samurai_archer|酒 井 弓 武 士 
trp_gekokujo_ukita_samurai_archer_pl|酒 井 弓 武 士 
trp_gekokujo_ukita_officer|酒 井 军 官 
trp_gekokujo_ukita_officer_pl|酒 井 军 官 
trp_gekokujo_ukita_mounted_officer|酒 井 骑 马 军 官 
trp_gekokujo_ukita_mounted_officer_pl|酒 井 骑 马 军 官 
trp_gekokujo_ukita_master_gunner|酒 井 铁 炮 队 长 
trp_gekokujo_ukita_master_gunner_pl|酒 井 铁 炮 队 长 
trp_gekokujo_ukita_master_archer|酒 井 弓 队 长 
trp_gekokujo_ukita_master_archer_pl|酒 井 弓 队 长 
trp_gekokujo_ukita_hatamoto_guard|酒 井 亲 卫 
trp_gekokujo_ukita_hatamoto_guard_pl|酒 井 亲 卫 
trp_gekokujo_ukita_hatamoto_gunner|酒 井 铁 炮 奉 行 
trp_gekokujo_ukita_hatamoto_gunner_pl|酒 井 铁 炮 奉 行 
trp_gekokujo_ukita_messenger|酒 井 信 使 
trp_gekokujo_ukita_messenger_pl|酒 井 信 使 
trp_gekokujo_ukita_deserter|酒 井 逃 兵 
trp_gekokujo_ukita_deserter_pl|酒 井 逃 兵 
trp_gekokujo_ukita_prison_guard|酒 井 监 狱 守 卫 
trp_gekokujo_ukita_prison_guard_pl|酒 井 监 狱 守 卫 
trp_gekokujo_ukita_castle_guard|酒 井 城 堡 守 卫 
trp_gekokujo_ukita_castle_guard_pl|酒 井 城 堡 守 卫 
trp_gekokujo_ikko_jizamurai|加 贺 见 习 侍 从 
trp_gekokujo_ikko_jizamurai_pl|加 贺 见 习 侍 从 
trp_gekokujo_ikko_retainer|加 贺 侍 从 
trp_gekokujo_ikko_retainer_pl|加 贺 侍 从 
trp_gekokujo_ikko_marksman|加 贺 侍 从 射 手 
trp_gekokujo_ikko_marksman_pl|加 贺 侍 从 射 手 
trp_gekokujo_ikko_veteran_retainer|资 深 加 贺 侍 从 
trp_gekokujo_ikko_veteran_retainer_pl|资 深 加 贺 侍 从 
trp_gekokujo_ikko_mounted_retainer|加 贺 骑 马 侍 从 
trp_gekokujo_ikko_mounted_retainer_pl|加 贺 骑 马 侍 从 
trp_gekokujo_ikko_samurai_gunner|加 贺 铁 炮 武 士 
trp_gekokujo_ikko_samurai_gunner_pl|加 贺 铁 炮 武 士 
trp_gekokujo_ikko_samurai_archer|加 贺 弓 武 士 
trp_gekokujo_ikko_samurai_archer_pl|加 贺 弓 武 士 
trp_gekokujo_ikko_officer|加 贺 军 官 
trp_gekokujo_ikko_officer_pl|加 贺 军 官 
trp_gekokujo_ikko_mounted_officer|加 贺 骑 马 军 官 
trp_gekokujo_ikko_mounted_officer_pl|加 贺 骑 马 军 官 
trp_gekokujo_ikko_master_gunner|加 贺 铁 炮 队 长 
trp_gekokujo_ikko_master_gunner_pl|加 贺 铁 炮 队 长 
trp_gekokujo_ikko_master_archer|加 贺 弓 队 长 
trp_gekokujo_ikko_master_archer_pl|加 贺 弓 队 长 
trp_gekokujo_ito_jizamurai|延 冈 见 习 侍 从 
trp_gekokujo_ito_jizamurai_pl|延 冈 见 习 侍 从 
trp_gekokujo_ito_retainer|延 冈 侍 从 
trp_gekokujo_ito_retainer_pl|延 冈 侍 从 
trp_gekokujo_ito_marksman|延 冈 侍 从 射 手 
trp_gekokujo_ito_marksman_pl|延 冈 侍 从 射 手 
trp_gekokujo_ito_veteran_retainer|资 深 延 冈 侍 从 
trp_gekokujo_ito_veteran_retainer_pl|资 深 延 冈 侍 从 
trp_gekokujo_ito_mounted_retainer|延 冈 骑 马 侍 从 
trp_gekokujo_ito_mounted_retainer_pl|延 冈 骑 马 侍 从 
trp_gekokujo_ito_samurai_gunner|延 冈 铁 炮 武 士 
trp_gekokujo_ito_samurai_gunner_pl|延 冈 铁 炮 武 士 
trp_gekokujo_ito_samurai_archer|延 冈 弓 武 士 
trp_gekokujo_ito_samurai_archer_pl|延 冈 弓 武 士 
trp_gekokujo_ito_officer|延 冈 军 官 
trp_gekokujo_ito_officer_pl|延 冈 军 官 
trp_gekokujo_ito_mounted_officer|延 冈 骑 马 军 官 
trp_gekokujo_ito_mounted_officer_pl|延 冈 骑 马 军 官 
trp_gekokujo_ito_master_gunner|延 冈 铁 炮 武 士 
trp_gekokujo_ito_master_gunner_pl|延 冈 铁 炮 武 士 
trp_gekokujo_ito_master_archer|延 冈 弓 武 士 
trp_gekokujo_ito_master_archer_pl|延 冈 弓 武 士 
trp_gekokujo_ito_hatamoto_cavalry|延 冈 马 回 
trp_gekokujo_ito_hatamoto_cavalry_pl|延 冈 马 回 
trp_gekokujo_ito_hatamoto_gunner|延 冈 铁 炮 奉 行 
trp_gekokujo_ito_hatamoto_gunner_pl|延 冈 铁 炮 奉 行 
trp_gekokujo_ito_messenger|延 冈 信 使 
trp_gekokujo_ito_messenger_pl|延 冈 信 使 
trp_gekokujo_ito_deserter|延 冈 逃 兵 
trp_gekokujo_ito_deserter_pl|延 冈 逃 兵 
trp_gekokujo_ito_prison_guard|延 冈 监 狱 守 卫 
trp_gekokujo_ito_prison_guard_pl|延 冈 监 狱 守 卫 
trp_gekokujo_ito_castle_guard|延 冈 城 堡 守 卫 
trp_gekokujo_ito_castle_guard_pl|延 冈 城 堡 守 卫 
trp_gekokujo_ashikaga_jizamurai|新 政 府 军 见 习 侍 从 
trp_gekokujo_ashikaga_jizamurai_pl|新 政 府 军 见 习 侍 从 
trp_gekokujo_ashikaga_retainer|新 政 府 军 侍 从 
trp_gekokujo_ashikaga_retainer_pl|新 政 府 军 侍 从 
trp_gekokujo_ashikaga_marksman|新 政 府 军 长 州 步 兵 
trp_gekokujo_ashikaga_marksman_pl|新 政 府 军 长 州 步 兵 
trp_gekokujo_ashikaga_veteran_retainer|新 政 府 军 军 官 
trp_gekokujo_ashikaga_veteran_retainer_pl|新 政 府 军 军 官 
trp_gekokujo_ashikaga_mounted_retainer|新 政 府 军 长 州 军 官 
trp_gekokujo_ashikaga_mounted_retainer_pl|新 政 府 军 长 州 军 官 
trp_gekokujo_ashikaga_samurai_gunner|新 政 府 军 炮 兵 
trp_gekokujo_ashikaga_samurai_gunner_pl|新 政 府 军 炮 兵 
trp_gekokujo_ashikaga_samurai_archer|新 政 府 军 熟 练 长 州 步 兵 
trp_gekokujo_ashikaga_samurai_archer_pl|新 政 府 军 熟 练 长 州 步 兵 
trp_gekokujo_ashikaga_officer|新 政 府 军 骑 马 军 官 
trp_gekokujo_ashikaga_officer_pl|新 政 府 军 骑 马 军 官 
trp_gekokujo_ashikaga_mounted_officer|新 政 府 军 长 州 骑 马 军 官 
trp_gekokujo_ashikaga_mounted_officer_pl|新 政 府 军 长 州 骑 马 军 官 
trp_gekokujo_ashikaga_master_gunner|阿 姆 斯 特 朗 炮 
trp_gekokujo_ashikaga_master_gunner_pl|阿 姆 斯 特 朗 炮 
trp_gekokujo_ashikaga_master_archer|新 政 府 军 资 深 长 州 步 兵 
trp_gekokujo_ashikaga_master_archer_pl|新 政 府 军 资 深 长 州 步 兵 
trp_gekokujo_ashikaga_hatamoto_cavalry|新 政 府 军 马 回 
trp_gekokujo_ashikaga_hatamoto_cavalry_pl|新 政 府 军 马 回 
trp_gekokujo_ashikaga_hatamoto_gunner|新 政 府 军 亲 卫 
trp_gekokujo_ashikaga_hatamoto_gunner_pl|新 政 府 军 亲 卫 
trp_gekokujo_ashikaga_messenger|新 政 府 军 信 使 
trp_gekokujo_ashikaga_messenger_pl|新 政 府 军 信 使 
trp_gekokujo_ashikaga_deserter|新 政 府 军 逃 兵 
trp_gekokujo_ashikaga_deserter_pl|新 政 府 军 逃 兵 
trp_gekokujo_ashikaga_prison_guard|新 政 府 军 监 狱 守 卫 
trp_gekokujo_ashikaga_prison_guard_pl|新 政 府 军 监 狱 守 卫 
trp_gekokujo_ashikaga_castle_guard|新 政 府 军 城 堡 守 卫 
trp_gekokujo_ashikaga_castle_guard_pl|新 政 府 军 城 堡 守 卫 
trp_gekokujo_nanbu_jizamurai|陆 奥 见 习 侍 从 
trp_gekokujo_nanbu_jizamurai_pl|陆 奥 见 习 侍 从 
trp_gekokujo_nanbu_retainer|陆 奥 侍 从 
trp_gekokujo_nanbu_retainer_pl|陆 奥 侍 从 
trp_gekokujo_nanbu_marksman|陆 奥 侍 从 射 手 
trp_gekokujo_nanbu_marksman_pl|陆 奥 侍 从 射 手 
trp_gekokujo_nanbu_veteran_retainer|陆 奥 武 士 
